client,server,datasource,graph
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,3,0 0,4,0 0,6,0 0,10,0 0,13,1351.71 0,14,0.0472175 3,0,7011.74 3,4,9510 3,6,9516 3,10,9513 3,13,9502 3,14,7929.32 4,0,4.33333 4,6,6 4,10,3 4,13,8 4,14,4.32836 6,0,1219.38 6,3,4.5 6,4,9515 6,10,1362.14 6,13,1357.57 6,14,1220.49 10,0,838.364 10,3,0 10,4,9510 10,6,4.90909 10,13,1359.43 10,14,752.89 13,0,8.89766 13,3,7.5 13,4,23 13,6,7.5 13,10,8.57143 13,14,8.98106 14,0,25.1538 14,3,0 14,4,0 14,6,0 14,10,0 14,13,1351.71"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0.0769231 0,10,0 0,13,0 0,14,0.0318021 6,0,2.22025 6,10,2.16667 6,13,1.5 6,14,2.31066 10,0,5.43229 10,6,5.66667 10,13,5 10,14,5.37548 13,0,5.06371 13,6,5.45455 13,10,5.4 13,14,5.25941 14,0,0 14,6,0 14,10,0 14,13,0"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0 0,9,0 0,10,0 0,13,0 0,14,0.0250522 6,0,3.94019 6,9,5 6,10,3.33333 6,13,6.66667 6,14,3.99 9,0,18.4395 9,6,22.75 9,10,15.2857 9,13,19.3333 9,14,18.5011 10,0,3.62192 10,6,4.375 10,9,3 10,13,5 10,14,3.6472 13,0,10.8669 13,6,9.85714 13,10,11 13,14,10.9806 14,0,0 14,6,0 14,9,0 14,10,0 14,13,0"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,3,0 0,4,0 0,6,0 0,10,0 0,13,1.125 0,14,0.882353 3,0,277.088 3,4,275 3,6,284.5 3,10,287 3,13,215.5 3,14,280.963 4,0,8.35256 4,6,8.66667 4,10,11.25 4,13,8.33333 4,14,8.44482 6,0,34.6267 6,3,6 6,4,282 6,10,44 6,13,3.16667 6,14,39.8994 10,0,23.5749 10,3,0 10,4,276 10,6,5 10,13,4.71429 10,14,26.5309 13,0,37.1773 13,3,8.5 13,4,265 13,6,27.7273 13,10,38.5 13,14,43.7633 14,0,0.0828877 14,3,0 14,4,0 14,6,0 14,10,0 14,13,1.25"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0.1 0,9,0 0,10,0 0,13,0 0,14,0.0402194 6,0,4.1295 6,9,3.5 6,10,3.28571 6,13,6.16667 6,14,3.84221 9,0,6.16244 9,6,6.5 9,10,3 9,13,9.66667 9,14,6.2139 10,0,4.17188 10,6,4.625 10,9,2 10,13,5.6 10,14,4.33913 13,0,11.6486 13,6,7.88889 13,9,21.5 13,10,14.7143 13,14,10.1657 14,0,0 14,6,0 14,9,0 14,10,0 14,13,0"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,3,0 0,4,0 0,6,0 0,9,0 0,10,0 0,11,9265 0,13,103.5 0,14,0.0238971 3,0,9273.9 3,4,9622.5 3,6,9303.25 3,9,9315 3,10,9518 3,11,9265 3,13,9514 3,14,9322.35 4,0,103.062 4,6,15.25 4,9,27 4,10,6.66667 4,13,226 4,14,70.9961 6,0,1136.93 6,3,7 6,4,4970 6,9,2 6,10,1423.43 6,11,9272 6,13,105 6,14,1349.04 9,0,624.892 9,4,643 9,10,645 9,13,621 9,14,642.885 10,0,788.352 10,3,0 10,4,4971 10,6,6.44444 10,9,11 10,11,9265 10,13,112.167 10,14,858.393 11,0,178.28 11,4,357.5 11,6,38.25 11,9,50 11,10,253 11,13,248.333 11,14,157.276 13,0,1899.25 13,3,4.5 13,4,4657 13,6,1554 13,9,5 13,10,1866.4 13,11,9270 13,14,2132.22 14,0,23.2864 14,3,0 14,4,0 14,6,0 14,9,0 14,10,0 14,11,9265 14,13,103.5"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0 0,10,0 0,13,0 0,14,0.0306306 6,0,2.62044 6,10,2.16667 6,13,2.6 6,14,2.65306 10,0,4.58311 10,6,5 10,13,4.75 10,14,4.71036 13,0,6.91272 13,6,6.18182 13,10,6.66667 13,14,6.63846 14,0,0 14,6,0 14,10,0 14,13,0"
192.168.1.149:57136,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0 0,9,0 0,10,0 0,13,0 0,14,0.0341113 6,0,2.93122 6,9,2.5 6,10,3.83333 6,13,3.2 6,14,3.35701 9,0,24.3302 9,6,23 9,10,12.2 9,13,23.4 9,14,20.1429 10,0,6.35817 10,6,6 10,9,2.5 10,13,7 10,14,5.82556 13,0,6.8122 13,6,6.3 13,9,14.5 13,10,11.8333 13,14,7.83303 14,0,0 14,6,0 14,9,0 14,10,0 14,13,0"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,3,0 0,4,0 0,6,0 0,10,0 0,13,24.1667 0,14,0.092562 3,0,168.565 3,4,193 3,10,195 3,13,168 3,14,182.612 4,0,1.71429 4,10,2 4,14,1.675 6,0,26.4018 6,3,6 6,4,200 6,10,27.75 6,13,31.5 6,14,24.5122 10,0,23.3902 10,3,0 10,4,194 10,6,5.3 10,13,32.8333 10,14,20.6239 13,0,7.89716 13,3,9 13,4,24 13,6,4.77778 13,10,8.57143 13,14,7.45908 14,0,0.453552 14,3,0 14,4,0 14,6,0 14,10,0 14,13,24.1667"
192.168.1.149:57102,130.206.193.109:443,C:\Users\macie\Downloads\pcap_video.tar\pcap_video\pcap\video_180s1080p_01.pcap,"0,6,0 0,10,0 0,13,0 0,14,0.0246914 6,0,2.23267 6,10,2 6,13,2.16667 6,14,2.32384 10,0,5.3913 10,6,5.45455 10,13,5.2 10,14,5.14718 13,0,5.27481 13,6,5.75 13,10,5.66667 13,14,5.30571 14,0,0 14,6,0 14,10,0 14,13,0"
